Indicator Name,Indicator Code,numCountries
"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,191
Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,234
Capture fisheries production (metric tons),ER.FSH.CAPT.MT,257
Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,185
Cash surplus/deficit (current LCU),GC.BAL.CASH.CN,153
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,217
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,217
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,217
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,126
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,109
Cereal production (metric tons),AG.PRD.CREL.MT,227
Cereal yield (kg per hectare),AG.YLD.CREL.KG,227
Changes in inventories (constant LCU),NE.GDI.STKB.KN,161
Changes in inventories (current LCU),NE.GDI.STKB.CN,186
Changes in inventories (current US$),NE.GDI.STKB.CD,184
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,213
"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,197
Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN,145
Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS,63
"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS,63
"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS,63
Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS,63
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,61
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,61
Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,63
"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,63
"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,63
Children (0-14) living with HIV,SH.HIV.0014,82
"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,99
"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS,99
"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS,56
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS,56
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS,56
"Children in employment, study and work (% of children in employment, ages 7-14)",SL.TLF.0714.SW.ZS,99
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS,100
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS,100
"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS,99
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,93
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",SL.FAM.0714.FE.ZS,93
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",SL.FAM.0714.MA.ZS,93
"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS,91
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",SL.WAG.0714.FE.ZS,91
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",SL.WAG.0714.MA.ZS,91
"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS,99
"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS,100
"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS,100
Children out of school (% of primary school age),SE.PRM.UNER.ZS,234
"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,229
"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,229
"Children out of school, primary, female",SE.PRM.UNER.FE,229
"Children out of school, primary, male",SE.PRM.UNER.MA,229
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,78
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,165
"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,227
Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,170
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,122
Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,165
CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,237
CO2 emissions (kg per 2011 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,233
CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,233
CO2 emissions (kt),EN.ATM.CO2E.KT,248
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,248
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,186
CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,248
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,240
CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,248
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,248
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,186
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,186
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,186
CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,248
CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,236
CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,186
CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,216
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,251
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,186
"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,231
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,136
Commercial service exports (current US$),TX.VAL.SERV.CD.WT,235
Commercial service imports (current US$),TM.VAL.SERV.CD.WT,238
"Commitments, IBRD (COM, current US$)",DT.COM.MIBR.CD,132
"Commitments, IDA (COM, current US$)",DT.COM.MIDA.CD,131
"Commitments, official creditors (COM, current US$)",DT.COM.OFFT.CD,132
"Commitments, private creditors (COM, current US$)",DT.COM.PRVT.CD,132
"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,132
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,236
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,237
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,77
Compensation of employees (% of expense),GC.XPN.COMP.ZS,196
Compensation of employees (current LCU),GC.XPN.COMP.CN,152
Completeness of birth registration (%),SP.REG.BRTH.ZS,208
"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,116
"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,116
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,145
Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths),SP.DTH.INFR.ZS,135
Completeness of total death reporting (% of reported total deaths to estimated total deaths),SP.DTH.REPT.ZS,166
"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,230
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,227
Concessional debt (% of total external debt),DT.DOD.ALLC.ZS,132
"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,73
"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,65
Consumer price index (2010 = 100),FP.CPI.TOTL,179
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,154
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,156
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,232
"Contraceptive prevalence, modern methods (% of women ages 15-49)",SP.DYN.CONM.ZS,217
"Contributing family workers, female (% of females employed)",SL.FAM.WORK.FE.ZS,194
"Contributing family workers, male (% of males employed)",SL.FAM.WORK.MA.ZS,194
"Contributing family workers, total (% of total employed)",SL.FAM.WORK.ZS,196
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,234
Cost to export (US$ per container),IC.EXP.COST.CD,230
Cost to import (US$ per container),IC.IMP.COST.CD,230
Coverage (%) - All Labor Market,per_lm_alllm.cov_pop_tot,57
Coverage (%) - All Social Assistance,per_sa_allsa.cov_pop_tot,101
Coverage (%) - All Social Insurance,per_si_allsi.cov_pop_tot,97
Coverage (%) -All Social Protection and Labor,per_allsp.cov_pop_tot,106
CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,125
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,125
CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,125
CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,125
CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,125
CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,125
CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,125
CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,125
CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,125
CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,125
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,124
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,125
CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,125
CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,125
CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,125
CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,125
CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,123
CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,125
CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,125
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,125
Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,246
"Currency composition of PPG debt, all other currencies (%)",DT.CUR.OTHC.ZS,132
"Currency composition of PPG debt, Deutsche mark (%)",DT.CUR.DMAK.ZS,130
"Currency composition of PPG debt, Euro (%)",DT.CUR.EURO.ZS,132
"Currency composition of PPG debt, French franc (%)",DT.CUR.FFRC.ZS,130
"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,132
"Currency composition of PPG debt, Multiple currencies (%)",DT.CUR.MULC.ZS,132
"Currency composition of PPG debt, Pound sterling (%)",DT.CUR.UKPS.ZS,132
"Currency composition of PPG debt, SDR (%)",DT.CUR.SDRW.ZS,132
"Currency composition of PPG debt, Swiss franc (%)",DT.CUR.SWFR.ZS,132
"Currency composition of PPG debt, U.S. dollars (%)",DT.CUR.USDL.ZS,132
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,189
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,194
"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,167
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,170
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,159
"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,172
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,145
Customs and other import duties (current LCU),GC.TAX.IMPT.CN,145
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,257
Debt buyback (current US$),DT.DSB.DPPG.CD,131
Debt forgiveness grants (current US$),DT.DOD.MDRI.CD,131
Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,132
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,151
"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,132
"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",DT.TDS.DPNG.CD,132
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,132
"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,132
Debt stock reduction (current US$),DT.DSF.DPPG.CD,131
Debt stock rescheduled (current US$),DT.DXR.DPPG.CD,132
DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,207
Delay in obtaining an electrical connection (days),IC.ELC.DURS,187
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,88
Deposit interest rate (%),FR.INR.DPST,175
"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,122
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,234
Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,152
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,254
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),SH.STA.ORCF.ZS,130
Diarrhea treatment (% of children under 5 who received ORS packet),SH.STA.ORTH,183
Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ,83
"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,132
"Disbursements on external debt, long-term + IMF (DIS, current US$)",DT.DIS.DLTF.CD,132
"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,132
"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,132
Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,168
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,188
Distance to frontier score (0=lowest performance to 100=frontier),IC.BUS.DFRN.XQ,234
Documents to export (number),IC.EXP.DOCS,230
Documents to import (number),IC.IMP.DOCS,230
Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,227
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,227
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,227
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,168
Duration of compulsory education (years),SE.COM.DURS,233
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,234
"EBRD, private nonguaranteed (NFL, current US$)",DT.NFL.NEBR.CD,131
"Effective transition rate from primary to lower secondary general education, both sexes (%)",SE.SEC.PROG.ZS,225
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,182
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,186
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,184
Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,184
Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,184
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,184
Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,184
"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,184
"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,184
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,186
Emigration rate of tertiary educated (% of total tertiary educated population),SM.EMI.TERT.ZS,234
"Employers, female (% of employment)",SL.EMP.MPYR.FE.ZS,175
"Employers, male (% of employment)",SL.EMP.MPYR.MA.ZS,175
"Employers, total (% of employment)",SL.EMP.MPYR.ZS,177
Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,220
"Employment in agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS,212
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,212
Employment in industry (% of total employment),SL.IND.EMPL.ZS,220
